읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설수,학원수 (개),지역 문화 복지 시설,영화관,박물관,미술관,공연장,공원수,도서관 수,녹지 만족도(10점 평균),소음,대기오염,휴식공간 및 녹지부족,수질오염,범죄 폭력,길거리의 쓰레기방치,주차질서
1107054,중랑구,면목4동,47.5,46.2,48.7,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107055,중랑구,면목5동,43.9,43.2,44.7,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107057,중랑구,면목7동,47.3,46.4,48.2,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107059,중랑구,상봉1동,45.0,43.9,46.0,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107060,중랑구,상봉2동,43.5,43.9,43.1,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107061,중랑구,중화1동,46.6,45.8,47.4,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107062,중랑구,중화2동,48.3,47.6,49.1,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107064,중랑구,묵1동,44.9,44.2,45.4,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107065,중랑구,묵2동,47.0,46.2,47.9,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107068,중랑구,망우3동,48.8,48.3,49.4,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107069,중랑구,신내1동,45.3,44.1,46.5,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107070,중랑구,신내2동,47.3,46.0,48.6,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107071,중랑구,면목본동,46.8,45.9,47.7,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1107073,중랑구,망우본동,45.3,44.9,45.7,179,0,271,8,3,0,0,1,113,5,5.91,71.7,61.2,71.9,72.7,66.2,52.8,49.0
1108058,성북구,돈암1동,46.8,45.8,47.7,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108059,성북구,돈암2동,43.5,42.4,44.4,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108060,성북구,안암동,40.4,39.1,41.7,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108061,성북구,보문동,43.6,42.9,44.3,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108062,성북구,정릉1동,44.1,42.8,45.3,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108063,성북구,정릉2동,46.2,44.9,47.3,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108064,성북구,정릉3동,46.0,43.6,48.4,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108065,성북구,정릉4동,46.4,45.1,47.6,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108066,성북구,길음1동,41.1,40.2,41.9,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108068,성북구,길음2동,42.0,41.2,42.8,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108071,성북구,월곡1동,45.1,44.4,45.8,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
1108072,성북구,월곡2동,45.1,44.9,45.3,194,5,469,11,2,11,1,13,122,13,5.93,65.1,55.5,65.1,65.6,54.5,55.3,50.6
