읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설수,학원수 (개),지역 문화 복지 시설,영화관,박물관,미술관,공연장,공원수,도서관 수,녹지 만족도(10점 평균),소음,대기오염,휴식공간 및 녹지부족,수질오염,범죄 폭력,길거리의 쓰레기방치,주차질서
1124064,송파구,삼전동,43.2,42.6,43.8,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124065,송파구,가락본동,44.5,44.0,45.0,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124066,송파구,가락1동,40.6,40.1,41.1,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124067,송파구,가락2동,42.6,41.8,43.4,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124068,송파구,문정1동,44.2,43.4,44.9,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124069,송파구,문정2동,42.3,42.8,41.8,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124071,송파구,잠실본동,43.1,42.7,43.4,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124075,송파구,잠실4동,40.9,40.2,41.5,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124077,송파구,잠실6동,44.1,43.5,44.6,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124078,송파구,잠실7동,47.1,47.2,47.0,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124079,송파구,잠실2동,39.1,38.6,39.5,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124080,송파구,잠실3동,43.5,43.2,43.8,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124081,송파구,장지동,43.8,42.7,44.9,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1124082,송파구,위례동,36.3,35.5,37.1,382,2,1110,12,4,7,2,13,174,12,6.43,63.5,59.1,65.4,64.0,55.4,59.5,46.6
1125051,강동구,강일동,42.9,41.5,44.1,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125053,강동구,명일1동,43.3,42.2,44.3,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125054,강동구,명일2동,42.8,42.1,43.6,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125055,강동구,고덕1동,40.3,39.0,41.5,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125056,강동구,고덕2동,41.1,40.5,41.6,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125058,강동구,암사2동,43.8,43.1,44.5,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125059,강동구,암사3동,42.6,41.8,43.3,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125061,강동구,천호1동,47.2,46.1,48.3,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125063,강동구,천호3동,45.4,45.4,45.4,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125065,강동구,성내1동,43.6,42.8,44.3,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125066,강동구,성내2동,45.9,45.6,46.2,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125067,강동구,성내3동,45.7,44.2,47.1,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125070,강동구,둔촌1동,46.0,47.7,43.9,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125071,강동구,둔촌2동,44.7,43.7,45.6,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125072,강동구,암사1동,45.9,44.9,46.9,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125073,강동구,천호2동,45.8,45.4,46.3,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
1125074,강동구,길동,46.0,45.2,46.7,253,0,703,9,3,2,0,5,129,9,6.58,75.4,73.6,76.8,81.3,78.7,68.3,60.7
