읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설,교육 시설,문화 복지 시설,영화관,박물관,미술관,공연장,공원,도서관,녹지 분포,소음,대기청결도,휴식공간,수질오염,치안,깨끗한 길거리,주차질서
1123051,관악구,신사동,43.2,42.5,43.9,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1123051,강남구,신사동,45.1,44.5,45.7,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1121069,관악구,신림동,37.6,37.8,37.3,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121071,관악구,난향동,45.8,44.9,46.6,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121072,관악구,조원동,42.8,42.9,42.7,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121073,관악구,대학동,42.1,41.3,43.3,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121078,관악구,은천동,44.5,43.6,45.5,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121079,관악구,성현동,45.3,43.9,46.6,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121080,관악구,청룡동,40.0,40.0,40.1,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121081,관악구,난곡동,47.8,46.7,48.8,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121082,관악구,삼성동,51.0,49.3,52.8,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1121083,관악구,미성동,46.2,45.4,47.0,0.2810810810810811,0.16666666666666666,0.12834448160535117,0.4285714285714286,0.1111111111111111,0.06060606060606061,0.1,0.0,0.606060606060606,0.09090909090909094,0.431034482758621,0.7083333333333335,0.6747572815533984,0.12087912087912045,0.3433476394849784,0.483271375464684,0.5644171779141107,0.16666666666666652
1122051,서초구,서초1동,43.1,42.3,43.9,0.39729729729729724,0.0,0.45359531772575246,0.5714285714285714,0.2222222222222222,0.12121212121212122,0.25,0.16867469879518074,0.9393939393939394,0.36363636363636365,0.5775862068965516,0.4249999999999998,0.17475728155339798,0.3681318681318677,0.3004291845493561,0.4014869888475836,0.8036809815950918,0.5733333333333333
